Model,DNP11_E_weight,Base_R50,Ablated_R50,Relative_Drop,flux_share_top1,flux_share_top0p1,flux_gini,Block_Mass_Err,Median_Dist,Dist_Divergence,deg_mean,deg_p95,str_mean,str_p95,reciprocity,rich_club_1,rich_club_5,modularity_proxy,f_val,seed
f_0p005_Seed_003,6.181539191957224,0.053422000000000004,0.053796000000000004,-0.007000861068473649,0.2586502524011337,0.15128995015060118,0.6404589323760826,0.2543726387169961,6953.939315227328,0.4822397910094896,130.46787092323942,176.0,512.2572050613265,736.0,0.014334820038215393,0.011059804870782751,0.009480390006947299,0.7387028074592039,0.005,3
f_0p005_Seed_004,6.57771900930392,0.054748000000000005,0.054248000000000005,0.009132753707898013,0.2582570393953079,0.1505546580598193,0.640389416041097,0.2543726387169961,6953.720838513261,0.48225605783955633,130.4650586307984,176.0,512.2461631315745,736.0,0.014349359400647828,0.01099516646338709,0.009509980698715365,0.7387028074592039,0.005,4
f_0p005_Seed_005,6.420519897369018,0.054002,0.053862,0.002592496574200978,0.2583458785298597,0.1508947019800597,0.6403389736834717,0.2543726387169961,6953.069394156104,0.48230456156546153,130.47349587186616,176.0,512.2792903490051,736.0,0.014346055000095002,0.01094224924012158,0.009424870071290708,0.7387028074592039,0.005,5
f_0p005_Seed_006,6.370899722696421,0.053858,0.053022,0.01552229937985078,0.25866679507583745,0.1512117145077956,0.6405336834081269,0.2543726387169961,6953.447130739808,0.48227643693513955,130.46787092323942,176.0,512.2572050613265,735.0,0.014344072359763305,0.01092978331784302,0.00943297549529293,0.7387028074592039,0.005,6
f_0p005_Seed_007,6.726783043838078,0.054327999999999994,0.05406600000000001,0.004822559269621273,0.25851504931222424,0.15067936142448105,0.6403511791699884,0.2543726387169961,6954.250462845742,0.4822166243051751,130.47349587186616,176.0,512.2792903490051,736.0,0.014334159158104827,0.010964932178015696,0.009415014131995265,0.7387028074592039,0.005,7
f_0p005_Seed_008,6.417487603362665,0.054676,0.05492800000000001,-0.00460896920038059,0.25813791011000714,0.15059406191318533,0.640265988199307,0.2543726387169961,6954.4098239756795,0.48220475896551634,130.46787092323942,176.0,512.2572050613265,736.0,0.014339115758934066,0.010969470025441646,0.00946938274789094,0.7387028074592039,0.005,8
f_0p005_Seed_009,0.0,0.054315999999999996,0.05431400000000001,3.682156270690262e-05,0.25842602685771765,0.1507299075231906,0.6403730549943174,0.2543726387169961,6953.99471519534,0.48223566616776814,130.47349587186616,176.0,512.2792903490051,736.0,0.01433581135838124,0.010993566963716218,0.00944145244572761,0.7387028074592039,0.005,9
f_0p01_Seed_000,6.644963605803968,0.05847,0.059136,-0.011390456644433042,0.25535770073468994,0.14698667509707666,0.6384286843161933,0.2543726387169961,6950.036114998584,0.4825304063966186,130.4847472243182,177.0,512.3234666379218,739.0,0.014361255242638002,0.011058583611420097,0.009581263693347344,0.7387028074592039,0.01,0
f_0p01_Seed_001,6.591271725886817,0.059426,0.05915,0.00464443173021907,0.25563753317907323,0.1473069744278131,0.6385111888384085,0.2543726387169961,6952.562405324837,0.4823423097584401,130.493187012203,177.0,512.3566038549437,738.0,0.014389673087392307,0.011087733670961495,0.009543155240406217,0.7387028074592039,0.01,1
f_0p01_Seed_002,0.0,0.05860800000000001,0.05881600000000001,-0.003549003549003546,0.2557048432034402,0.14732190871432402,0.6385763722606345,0.2543726387169961,6952.1110822540595,0.48237591331994034,130.493187012203,177.0,512.3566038549437,738.0,0.01437480328490459,0.010787369562271311,0.009532267442071468,0.7387028074592039,0.01,2
f_0p01_Seed_003,6.587258725405271,0.05757,0.058362,-0.013757165190203128,0.25573071217808585,0.14742347757146282,0.6384477958300486,0.2543726387169961,6949.727980287917,0.482553348772869,130.49037362826897,177.0,512.3455576396525,738.0,0.014362577002859133,0.011089242432526014,0.009464235573308697,0.7387028074592039,0.01,3
f_0p01_Seed_004,8.004861060146375,0.058632000000000004,0.05921000000000001,-0.009858097966980643,0.25560309977457996,0.14750779129281083,0.6386108737737833,0.2543726387169961,6951.981983574886,0.4823855254485597,130.4763085280676,177.0,512.2903337069932,739.0,0.014386368686839481,0.011250651672004171,0.009556401893211434,0.7387028074592039,0.01,4
f_0p01_Seed_005,6.536192146103652,0.058314,0.05855,-0.004047055595568819,0.25577581743029315,0.14788366708041237,0.6386126799565839,0.2543726387169961,6950.748520836431,0.4824773637428407,130.49037362826897,177.0,512.3455576396525,739.0,0.014378438125512698,0.011064459670812541,0.009586018715123093,0.7387028074592039,0.01,5
f_0p01_Seed_006,6.878588509821707,0.058172,0.05804200000000001,0.0022347521144191573,0.25598907399333715,0.14779261340773822,0.6387429155687605,0.2543726387169961,6951.278479529915,0.48243790531338715,130.49037362826897,177.0,512.3455576396525,738.0,0.014379099005623263,0.01089173155357805,0.00948763324924879,0.7387028074592039,0.01,6
f_0p01_Seed_007,6.70112198774863,0.059430000000000004,0.058648,0.013158337539963063,0.25556326680816194,0.14721115283679004,0.6384846239354384,0.2543726387169961,6951.603196381528,0.48241372830272705,130.49037362826897,177.0,512.3455576396525,738.0,0.014362907442914415,0.011222722871825427,0.00951428545571373,0.7387028074592039,0.01,7
f_0p01_Seed_008,6.589411434994231,0.059320000000000005,0.059601999999999995,-0.004753877275792154,0.25521933701902944,0.14691141189764964,0.6383048566021625,0.2543726387169961,6951.014242539954,0.4824575792554427,130.50162789193385,177.0,512.3897453588909,739.0,0.014360594362527436,0.011206896551724138,0.009630857764897548,0.7387028074592039,0.01,8
f_0p01_Seed_009,0.0,0.059026,0.05990200000000001,-0.014840917561752594,0.256080966684524,0.14755852206455308,0.6386444073602121,0.2543726387169961,6951.792143037645,0.48239966015290225,130.49037362826897,177.0,512.3455576396525,738.0,0.01435464644153235,0.010803670745272526,0.009487859398897708,0.7387028074592039,0.01,9
f_0p02_Seed_000,7.9567476005818305,0.067362,0.068092,-0.010836970398741048,0.25079822332144863,0.14129674159623318,0.6353612017272433,0.2543726387169961,6944.517873833234,0.48294127073832704,130.51851292778125,179.0,512.4560412308887,745.0,0.014459395939056941,0.011438635520949203,0.009696130236650143,0.7387028074592039,0.02,0
f_0p02_Seed_001,7.13287048042643,0.06798000000000001,0.067672,0.004530744336569823,0.25097256313977256,0.1411569149547809,0.6354613079432383,0.2543726387169961,6947.529992738423,0.482717001407929,130.53258712905452,179.0,512.5113008971705,745.0,0.014461048139333355,0.011352623563616226,0.009632072293016498,0.7387028074592039,0.02,1
f_0p02_Seed_002,0.0,0.067352,0.06757200000000001,-0.0032664211901652787,0.2510665551048736,0.14105523112621246,0.6355252444512667,0.2543726387169961,6947.596706749484,0.48271203417155495,130.529772045979,179.0,512.5002480105243,745.0,0.014450804497619592,0.011459420224107427,0.00974961778490689,0.7387028074592039,0.02,2
f_0p02_Seed_003,6.891584292547792,0.066548,0.067376,-0.012442147021698763,0.2510659127061426,0.14131754460806634,0.6354229305049935,0.2543726387169961,6944.902411120046,0.4829126397571006,130.51851292778125,179.0,512.4560412308887,745.0,0.0144544393382277,0.011090978971064624,0.009564943527207678,0.7387028074592039,0.02,3
f_0p02_Seed_004,8.370089589500038,0.0673,0.067798,-0.007399702823179769,0.2509603360452835,0.14097267879456352,0.6355300215366315,0.2543726387169961,6944.660574857942,0.48293064583796097,130.51851292778125,179.0,512.4560412308887,745.0,0.014482526742926724,0.011332395771900377,0.009647290650483068,0.7387028074592039,0.02,4
f_0p02_Seed_005,7.004727163978225,0.06597,0.067372,-0.021252084280733673,0.2514267730041128,0.14186839393308984,0.6356738884392602,0.2543726387169961,6945.167708557459,0.48289288685871984,130.53821765949186,179.0,512.5334081007635,745.0,0.014472613541268246,0.011183722654801631,0.00954109844703513,0.7387028074592039,0.02,5
