bodyId,compartment,evidence_source,neuron_type
51474,medulla,roi_field,
51475,medulla,roi_field,
51477,unknown,none,
51482,medulla,roi_field,
51484,medulla,roi_field,
51488,medulla,roi_field,
51493,medulla,roi_field,
51497,medulla,roi_field,
51500,medulla,roi_field,
51504,medulla,roi_field,
51508,medulla,roi_field,
51511,medulla,roi_field,
51513,lobula_plate,roi_field,
51514,unknown,none,
51521,medulla,roi_field,
51522,medulla,roi_field,
51523,medulla,roi_field,
51524,medulla,roi_field,
51527,medulla,roi_field,
51529,lobula,roi_field,
51536,medulla,roi_field,
51543,medulla,roi_field,
51546,medulla,roi_field,
51554,medulla,roi_field,
51557,medulla,roi_field,
51559,medulla,roi_field,
51561,medulla,roi_field,
51563,medulla,roi_field,
51564,medulla,roi_field,
51566,medulla,roi_field,
51572,medulla,roi_field,
51574,medulla,roi_field,
51577,medulla,roi_field,
51580,lobula,roi_field,
51584,lobula,roi_field,
51585,medulla,roi_field,
51586,lobula,roi_field,
51588,lobula,roi_field,
51589,medulla,roi_field,
51593,medulla,roi_field,
51594,lobula,roi_field,
51599,medulla,roi_field,
51602,lobula,roi_field,
51604,lobula_plate,roi_field,
51612,lobula,roi_field,
51614,medulla,roi_field,
51617,lobula,roi_field,
51624,medulla,roi_field,
51626,lobula,roi_field,
51627,medulla,roi_field,
51628,medulla,roi_field,
51629,medulla,roi_field,
51630,lobula,roi_field,
51632,lobula_plate,roi_field,
51633,lobula_plate,roi_field,
51635,medulla,roi_field,
51640,lobula,roi_field,
51641,medulla,roi_field,
51642,medulla,roi_field,
51643,medulla,roi_field,
51644,medulla,roi_field,
51645,medulla,roi_field,
51647,medulla,roi_field,
51652,medulla,roi_field,
51655,medulla,roi_field,
51657,medulla,roi_field,
51659,medulla,roi_field,
51662,medulla,roi_field,
51664,medulla,roi_field,
51670,lobula_plate,roi_field,
51674,lobula,roi_field,
51676,medulla,roi_field,
51681,lobula_plate,roi_field,
51684,medulla,roi_field,
51685,medulla,roi_field,
51687,lobula_plate,roi_field,
51692,lobula,roi_field,
51693,lobula,roi_field,
51694,medulla,roi_field,
51696,medulla,roi_field,
51698,medulla,roi_field,
51699,medulla,roi_field,
51700,medulla,roi_field,
51707,medulla,roi_field,
51711,medulla,roi_field,
51714,lobula,roi_field,
51717,lobula,roi_field,
51721,medulla,roi_field,
51731,medulla,roi_field,
51732,lobula,roi_field,
51737,medulla,roi_field,
51740,medulla,roi_field,
51741,medulla,roi_field,
51743,medulla,roi_field,
51746,medulla,roi_field,
51747,medulla,roi_field,
51749,medulla,roi_field,
51757,lobula_plate,roi_field,
51765,medulla,roi_field,
51766,medulla,roi_field,
51767,medulla,roi_field,
51768,lobula,roi_field,
51769,medulla,roi_field,
51770,medulla,roi_field,
51771,medulla,roi_field,
51772,lobula,roi_field,
51775,medulla,roi_field,
51776,medulla,roi_field,
51778,medulla,roi_field,
51780,medulla,roi_field,
51784,medulla,roi_field,
51785,lobula_plate,roi_field,
51791,medulla,roi_field,
51796,medulla,roi_field,
51797,medulla,roi_field,
51803,medulla,roi_field,
51804,medulla,roi_field,
51807,lobula,roi_field,
51809,lobula,roi_field,
51810,medulla,roi_field,
51812,medulla,roi_field,
51819,lobula_plate,roi_field,
51820,medulla,roi_field,
51821,lobula,roi_field,
51824,lobula,roi_field,
51825,lobula_plate,roi_field,
51828,medulla,roi_field,
51833,medulla,roi_field,
51836,medulla,roi_field,
51837,medulla,roi_field,
51840,lobula,roi_field,
51841,medulla,roi_field,
51842,lobula,roi_field,
51845,lobula,roi_field,
51846,medulla,roi_field,
51847,lobula,roi_field,
51848,medulla,roi_field,
51850,lobula,roi_field,
51853,lobula,roi_field,
51858,medulla,roi_field,
51859,medulla,roi_field,
51861,medulla,roi_field,
51870,medulla,roi_field,
51871,lobula,roi_field,
51872,lobula,roi_field,
51879,lobula,roi_field,
51880,lobula_plate,roi_field,
51881,medulla,roi_field,
51885,medulla,roi_field,
51886,medulla,roi_field,
51889,medulla,roi_field,
51897,medulla,roi_field,
51900,unknown,none,
51902,lobula,roi_field,
51903,medulla,roi_field,
51904,medulla,roi_field,
51905,medulla,roi_field,
51913,medulla,roi_field,
51915,lobula_plate,roi_field,
51916,medulla,roi_field,
51917,medulla,roi_field,
51918,medulla,roi_field,
51919,medulla,roi_field,
51920,medulla,roi_field,
51922,medulla,roi_field,
51925,medulla,roi_field,
51926,medulla,roi_field,
51928,medulla,roi_field,
51931,lobula,roi_field,
51934,medulla,roi_field,
51936,medulla,roi_field,
51939,medulla,roi_field,
51942,lobula_plate,roi_field,
51944,medulla,roi_field,
51945,medulla,roi_field,
51950,medulla,roi_field,
51954,medulla,roi_field,
51956,medulla,roi_field,
51958,medulla,roi_field,
51959,lobula,roi_field,
51961,medulla,roi_field,
51963,medulla,roi_field,
51966,medulla,roi_field,
51967,medulla,roi_field,
51971,medulla,roi_field,
51975,medulla,roi_field,
51978,lobula_plate,roi_field,
51981,medulla,roi_field,
51986,medulla,roi_field,
51988,medulla,roi_field,
51991,medulla,roi_field,
51993,medulla,roi_field,
51994,medulla,roi_field,
51997,lobula_plate,roi_field,
51999,unknown,none,
52004,lobula_plate,roi_field,
52009,lobula,roi_field,
52011,medulla,roi_field,
52012,medulla,roi_field,
52017,lobula,roi_field,
52026,lobula_plate,roi_field,
52028,lobula_plate,roi_field,
52042,medulla,roi_field,
52043,medulla,roi_field,
52048,medulla,roi_field,
52049,medulla,roi_field,
52050,medulla,roi_field,
52051,medulla,roi_field,
52053,medulla,roi_field,
52054,medulla,roi_field,
52055,medulla,roi_field,
52056,lobula,roi_field,
52057,medulla,roi_field,
52058,medulla,roi_field,
52059,lobula,roi_field,
52060,lobula_plate,roi_field,
52062,medulla,roi_field,
52064,medulla,roi_field,
52068,medulla,roi_field,
52069,medulla,roi_field,
52071,medulla,roi_field,
52075,medulla,roi_field,
52078,medulla,roi_field,
52082,medulla,roi_field,
52083,medulla,roi_field,
52092,medulla,roi_field,
52097,medulla,roi_field,
52102,lobula,roi_field,
52103,lobula,roi_field,
52106,lobula,roi_field,
52109,medulla,roi_field,
52110,lobula_plate,roi_field,
52115,medulla,roi_field,
52116,lobula_plate,roi_field,
52118,lobula,roi_field,
52120,medulla,roi_field,
52123,medulla,roi_field,
52127,lobula_plate,roi_field,
52130,medulla,roi_field,
52131,lobula,roi_field,
52133,medulla,roi_field,
52134,medulla,roi_field,
52139,lobula,roi_field,
52145,medulla,roi_field,
52147,medulla,roi_field,
52148,medulla,roi_field,
52149,lobula_plate,roi_field,
52151,medulla,roi_field,
52152,lobula,roi_field,
52155,lobula,roi_field,
52160,medulla,roi_field,
52163,medulla,roi_field,
52170,medulla,roi_field,
52175,medulla,roi_field,
52177,medulla,roi_field,
52178,medulla,roi_field,
52180,medulla,roi_field,
52184,medulla,roi_field,
52188,medulla,roi_field,
52192,medulla,roi_field,
52194,lobula,roi_field,
52197,medulla,roi_field,
52198,medulla,roi_field,
52199,medulla,roi_field,
52200,lobula_plate,roi_field,
52201,medulla,roi_field,
52213,medulla,roi_field,
52214,medulla,roi_field,
52216,lobula_plate,roi_field,
52217,medulla,roi_field,
52225,medulla,roi_field,
52227,lobula_plate,roi_field,
52229,medulla,roi_field,
52233,medulla,roi_field,
52239,medulla,roi_field,
52243,medulla,roi_field,
52246,medulla,roi_field,
52248,medulla,roi_field,
52249,lobula,roi_field,
52250,medulla,roi_field,
52256,medulla,roi_field,
52257,lobula,roi_field,
52258,medulla,roi_field,
52260,medulla,roi_field,
52268,medulla,roi_field,
52270,medulla,roi_field,
52272,medulla,roi_field,
52274,lobula,roi_field,
52277,lobula,roi_field,
52281,medulla,roi_field,
52287,medulla,roi_field,
52288,medulla,roi_field,
52289,lobula,roi_field,
52290,medulla,roi_field,
52292,lobula_plate,roi_field,
52295,medulla,roi_field,
52296,medulla,roi_field,
52299,medulla,roi_field,
52300,medulla,roi_field,
52302,medulla,roi_field,
52303,medulla,roi_field,
52307,lobula_plate,roi_field,
52309,lobula,roi_field,
52310,medulla,roi_field,
52311,medulla,roi_field,
52312,unknown,none,
52314,lobula,roi_field,
52316,medulla,roi_field,
52319,lobula,roi_field,
52322,lobula,roi_field,
52324,medulla,roi_field,
52327,medulla,roi_field,
52328,medulla,roi_field,
52329,lobula,roi_field,
52330,medulla,roi_field,
52333,medulla,roi_field,
52334,medulla,roi_field,
52335,medulla,roi_field,
52341,lobula,roi_field,
52344,lobula_plate,roi_field,
52345,lobula,roi_field,
52346,medulla,roi_field,
52347,lobula_plate,roi_field,
52350,medulla,roi_field,
52351,lobula_plate,roi_field,
52355,medulla,roi_field,
52356,unknown,none,
52357,medulla,roi_field,
52358,medulla,roi_field,
52360,lobula,roi_field,
52361,medulla,roi_field,
52362,medulla,roi_field,
52369,medulla,roi_field,
52370,lobula,roi_field,
52373,medulla,roi_field,
52377,lobula,roi_field,
52378,medulla,roi_field,
52380,medulla,roi_field,
52382,medulla,roi_field,
52383,medulla,roi_field,
52384,medulla,roi_field,
52386,lobula,roi_field,
52389,medulla,roi_field,
52393,lobula,roi_field,
52396,medulla,roi_field,
52401,lobula,roi_field,
52407,medulla,roi_field,
52411,medulla,roi_field,
52412,medulla,roi_field,
52416,medulla,roi_field,
52421,medulla,roi_field,
52422,lobula,roi_field,
52423,medulla,roi_field,
52429,medulla,roi_field,
52432,medulla,roi_field,
52433,medulla,roi_field,
52436,medulla,roi_field,
52444,lobula,roi_field,
52448,medulla,roi_field,
52451,lobula,roi_field,
52452,lobula_plate,roi_field,
52456,lobula,roi_field,
52457,medulla,roi_field,
52458,medulla,roi_field,
52459,medulla,roi_field,
52462,medulla,roi_field,
52463,lobula,roi_field,
52466,medulla,roi_field,
52470,medulla,roi_field,
52471,lobula,roi_field,
52474,lobula,roi_field,
52477,lobula,roi_field,
52479,medulla,roi_field,
52480,medulla,roi_field,
52482,medulla,roi_field,
52484,lobula,roi_field,
52485,medulla,roi_field,
52486,medulla,roi_field,
52487,medulla,roi_field,
52488,lobula,roi_field,
52490,lobula,roi_field,
52491,medulla,roi_field,
52495,lobula,roi_field,
52496,medulla,roi_field,
52497,medulla,roi_field,
52498,lobula,roi_field,
52499,medulla,roi_field,
52506,medulla,roi_field,
52507,medulla,roi_field,
52508,medulla,roi_field,
52510,medulla,roi_field,
52514,medulla,roi_field,
52515,medulla,roi_field,
52517,medulla,roi_field,
52519,medulla,roi_field,
52523,medulla,roi_field,
52526,lobula,roi_field,
52527,medulla,roi_field,
52530,lobula,roi_field,
52534,medulla,roi_field,
52537,medulla,roi_field,
52538,medulla,roi_field,
52539,medulla,roi_field,
52540,medulla,roi_field,
52545,medulla,roi_field,
52546,medulla,roi_field,
52552,medulla,roi_field,
52553,lobula_plate,roi_field,
52554,medulla,roi_field,
52560,medulla,roi_field,
52561,medulla,roi_field,
52562,medulla,roi_field,
52563,medulla,roi_field,
52568,lobula,roi_field,
52569,medulla,roi_field,
52570,lobula,roi_field,
52574,medulla,roi_field,
52584,medulla,roi_field,
52585,lobula,roi_field,
52586,medulla,roi_field,
52588,medulla,roi_field,
52596,lobula,roi_field,
52597,lobula,roi_field,
52598,medulla,roi_field,
52602,lobula_plate,roi_field,
52604,lobula_plate,roi_field,
52605,medulla,roi_field,
52611,medulla,roi_field,
52612,medulla,roi_field,
52617,medulla,roi_field,
52618,medulla,roi_field,
52620,medulla,roi_field,
52621,lobula_plate,roi_field,
52623,medulla,roi_field,
52624,medulla,roi_field,
52625,medulla,roi_field,
52626,lobula,roi_field,
52627,medulla,roi_field,
